CarNumber,Refund,Fines,Make,Model,Year
T6449O50RUS,2,8594.5864661654,Ford,Focus,2006
9683EC178RUS,2,26000.0,Ford,Focus,2001
Y353O8197RUS,2,21800.0,Ford,Focus,1998
O719MM163RUS,2,2300.0,Ford,Focus,1996
E535MM199RUS,1,500.0,Volkswagen,Touareg,2014
Y352O8197RUS,2,103600.0,Ford,Focus,1996
7788KT197RUS,2,12000.0,Ford,Focus,1984
E807HE77RUS,2,4500.0,Ford,Focus,1999
M516CH161RUS,1,1000.0,Ford,Focus,2009
89587X197RUS,1,8594.5864661654,Toyota,Camry,2000
7781KT197RUS,2,600.0,Ford,Focus,2018
E645TH36RUS,1,2400.0,Ford,Focus,2015
Y302E877RUS,1,500.0,Ford,Focus,2019
M058XE36RUS,2,8500.0,Skoda,Octavia,1993
7830C8197RUS,1,5100.0,Ford,Focus,2010
8166XX154RUS,1,2400.0,Ford,Focus,2012
M589CH197RUS,2,7900.0,Volkswagen,,1998
9408H7178RUS,1,1000.0,Skoda,Octavia,2017
H387TM197RUS,2,1600.0,Volkswagen,Passat,1986
8049HT125RUS,1,500.0,Ford,Focus,1982
9698MO178RUS,2,18400.0,Volkswagen,Golf,1999
8685HE154RUS,1,1000.0,Ford,Focus,2011
7177TT36RUS,1,1000.0,Ford,Focus,2014
O77997197RUS,1,22400.0,Ford,Focus,2008
Y234E877RUS,1,8594.5864661654,Ford,Focus,2008
97987H178RUS,2,5000.0,Ford,Focus,1992
X257HE161RUS,2,10000.0,Ford,Focus,1993
T399KX197RUS,2,10200.0,Ford,Focus,1996
H957HY161RUS,1,2000.0,Ford,Focus,2015
K379HY161RUS,1,200.0,Volkswagen,Golf,1995
T654HT96RUS,1,4000.0,Toyota,Corolla,1995
8439XX154RUS,2,4600.0,Ford,Focus,1996
Y965EE197RUS,2,9600.0,Ford,Focus,2007
X758HY197RUS,2,24200.0,Ford,Focus,1992
M0279X197RUS,2,180000.0,Ford,Focus,2013
H224X836RUS,1,3500.0,Ford,Focus,2019
E6849O154RUS,1,200.0,Volkswagen,Golf,1986
O83797197RUS,2,75900.0,Ford,Focus,1993
9402KK197RUS,2,8594.5864661654,Toyota,Camry,1982
7368C8197RUS,1,4400.0,Ford,Focus,1988
H427YH197RUS,2,29700.0,Volkswagen,Passat,2003
9583EY178RUS,2,4300.0,Ford,Focus,2002
Y038E877RUS,2,6500.0,Ford,Focus,2013
9822H8161RUS,1,100.0,Ford,Focus,1989
7826C8197RUS,2,3600.0,Ford,Focus,1999
E160YX77RUS,2,2200.0,Ford,Focus,2012
82337X197RUS,2,2100.0,Ford,Focus,1980
X757HY197RUS,2,6800.0,Ford,Focus,1984
X765HY197RUS,2,13900.0,Ford,Focus,1992
934497178RUS,2,1900.0,Skoda,Octavia,1988
K2807K154RUS,1,1000.0,Ford,Focus,1994
T8008Y125RUS,2,1000.0,Ford,Focus,2000
X765HY197RUS,2,27800.0,Ford,Focus,1999
Y960EE197RUS,1,8594.5864661654,Skoda,Octavia,2000
7840C8197RUS,2,7000.0,Ford,Focus,2012
K846YE77RUS,2,2000.0,Volkswagen,Passat,1998
E40577152RUS,1,500.0,Ford,Focus,2000
7827C8197RUS,1,7500.0,Ford,Focus,2018
Y655E8750RUS,2,5200.0,Skoda,Octavia,2007
H003MH197RUS,2,2900.0,Ford,Focus,2002
Y7699C197RUS,2,15800.0,Ford,Focus,2012
Y8399C197RUS,2,1800.0,Ford,Focus,1990
9135X938RUS,2,4400.0,Ford,Focus,1982
H385TM197RUS,1,9500.0,Volkswagen,Passat,2004
9428EX178RUS,1,1000.0,Ford,Focus,2013
H837YK197RUS,2,4200.0,Audi,,2005
O83597197RUS,2,4000.0,Ford,Focus,1999
E42577152RUS,2,8594.5864661654,Ford,Focus,2003
E53277152RUS,1,1000.0,Ford,Focus,2017
C476M7161RUS,2,1500.0,Ford,Focus,2016
9943KK197RUS,2,29700.0,Ford,Focus,1992
8165XX154RUS,1,4900.0,Ford,Focus,1981
T476KX197RUS,1,1500.0,Ford,Focus,2013
C422X938RUS,2,10500.0,Ford,Focus,1994
K328T8197RUS,1,300.0,Volkswagen,Golf,1991
9466EX178RUS,2,800.0,Ford,Focus,2006
X256HE161RUS,1,2400.0,Ford,Focus,1990
Y275O8197RUS,1,8594.5864661654,Ford,Focus,1988
8165XX154RUS,2,4200.0,Ford,Focus,2008
E432XX77RUS,2,13000.0,Toyota,Camry,1985
7830C8197RUS,2,10200.0,Ford,Focus,1992
H217X836RUS,1,2000.0,Ford,Focus,2000
Y316E877RUS,2,7000.0,Ford,Focus,1997
934497178RUS,1,3800.0,Skoda,Octavia,1988
O77997197RUS,2,8594.5864661654,Ford,Focus,2008
8601XX154RUS,1,1300.0,Skoda,Octavia,1991
M741T9152RUS,2,1000.0,Ford,Focus,1987
9883HX152RUS,2,1000.0,Ford,Focus,1982
Y6829Y50RUS,1,500.0,Ford,Focus,1982
H004MH197RUS,1,39600.0,Ford,Focus,2004
704987163RUS,2,8594.5864661654,Ford,Focus,1988
E160YX77RUS,2,1100.0,Ford,Focus,2019
E316EH197RUS,1,1300.0,Volkswagen,,1989
X758HY197RUS,2,72600.0,Ford,Focus,1996
O22297197RUS,1,500.0,Ford,Focus,2000
O02597197RUS,1,800.0,Ford,Focus,2004
X015HY197RUS,2,16000.0,Toyota,Corolla,2001
T769OT197RUS,2,30900.0,Volkswagen,Golf,2016
Y778EE197RUS,1,24000.0,Volkswagen,Golf,1990
7829C8197RUS,2,1800.0,Ford,Focus,1996
T272HH163RUS,1,1000.0,Ford,Focus,1990
T018OX197RUS,2,3400.0,Toyota,Corolla,1992
Y255E877RUS,1,2500.0,Ford,Focus,1989
9182CE154RUS,2,13200.0,Ford,Focus,1995
9697MO178RUS,1,1000.0,Volkswagen,Golf,2016
C477M7161RUS,2,5000.0,Ford,Focus,1990
T686EO197RUS,1,500.0,Toyota,Camry,1989
C590EY154RUS,2,8594.5864661654,Ford,Focus,2009
T941CC96RUS,1,2000.0,Ford,Focus,1989
O22397197RUS,2,55500.0,Ford,Focus,2013
X242EC197RUS,2,10600.0,Volkswagen,Golf,2003
T020OX197RUS,1,34300.0,Toyota,Corolla,2017
E33577152RUS,2,2000.0,Ford,Focus,2013
Y973O8197RUS,1,34800.0,Ford,Focus,1981
E773EH197RUS,2,6800.0,Ford,Focus,1992
T6428M116RUS,2,6000.0,Ford,Focus,2018
Y7129Y50RUS,2,32000.0,Ford,Focus,2003
Y418EX197RUS,2,900.0,Volkswagen,Passat,1984
Y7689C197RUS,1,27000.0,Ford,Focus,1982
7066C8197RUS,1,3000.0,Volkswagen,Passat,2016
E52877152RUS,1,1500.0,Ford,Focus,2007
7369C8197RUS,2,8594.5864661654,Ford,Focus,1999
Y166O8161RUS,1,100.0,Ford,Focus,1984
705287163RUS,2,2000.0,Ford,Focus,1990
K559KC161RUS,1,100.0,Ford,Focus,2013
M0299X197RUS,2,67200.0,Ford,Focus,2014
92928M178RUS,1,600.0,Ford,Focus,2016
9822H8161RUS,1,200.0,Ford,Focus,1994
8603T8154RUS,1,3000.0,Ford,Focus,1994
84418C154RUS,1,3000.0,Ford,Focus,2008
E53488152RUS,2,1800.0,Ford,Focus,1998
9697MO178RUS,1,500.0,Volkswagen,Golf,1983
Y7709C197RUS,1,1500.0,Ford,Focus,1995
90159H178RUS,2,600.0,Volkswagen,Passat,2012
C798ET50RUS,1,10000.0,Ford,Focus,1994
Y193O8161RUS,2,600.0,Ford,Focus,2005
7248C8197RUS,2,8600.0,Ford,Mondeo,1993
Y275O8197RUS,1,6000.0,Ford,Focus,1999
K357YE77RUS,1,5000.0,Volkswagen,Golf,2004
9697MO178RUS,1,8594.5864661654,Volkswagen,Golf,2012
E0697X152RUS,1,2000.0,Skoda,Octavia,1986
E40877152RUS,1,1000.0,Ford,Focus,2007
Y351O8197RUS,1,1500.0,Ford,Focus,1997
Y356O8197RUS,2,45900.0,Ford,Focus,1982
O6939X163RUS,1,7200.0,Ford,Focus,2008
Y7649C197RUS,2,5300.0,Ford,Focus,2015
9935TE152RUS,2,2500.0,Ford,Focus,2012
704687163RUS,2,1400.0,Ford,Focus,2005
7197TT36RUS,2,6800.0,Ford,Focus,2007
X765HY197RUS,2,41700.0,Ford,Focus,2007
H115YO163RUS,1,8594.5864661654,Ford,Focus,2013
O143HO197RUS,2,30300.0,Toyota,Corolla,2008
K436MO152RUS,1,1500.0,Ford,Focus,2006
9938OH154RUS,1,500.0,Skoda,Octavia,2007
E34877152RUS,2,6100.0,Ford,Focus,2004
E5878M777RUS,1,8500.0,Skoda,Octavia,2019
E33577152RUS,1,1000.0,Ford,Focus,2000
7844C8197RUS,2,34000.0,Ford,Focus,1992
X256HE161RUS,2,800.0,Ford,Focus,2017
C584EY154RUS,1,500.0,Ford,Focus,2003
E28977161RUS,2,1500.0,Ford,Focus,1986
T016OX197RUS,2,3200.0,Toyota,Corolla,1993
H889YK197RUS,2,10600.0,Ford,Focus,2007
7363C8197RUS,2,1600.0,Ford,Focus,1993
T6039O50RUS,2,1500.0,Ford,Focus,1986
7365C8197RUS,1,2300.0,Ford,Focus,1983
Y967O8197RUS,1,4000.0,Ford,Focus,1989
E816HE77RUS,1,3000.0,Ford,Focus,1987
T6329O50RUS,1,500.0,Ford,Focus,1988
X504X8197RUS,1,8594.5864661654,Skoda,Octavia,1992
M581CH197RUS,1,200.0,Ford,Focus,2000
X523OM161RUS,2,800.0,Ford,Focus,1984
C412X938RUS,1,1000.0,Ford,Focus,1982
7831C8197RUS,2,3400.0,Ford,Focus,1996
8164XX154RUS,2,4400.0,Ford,Focus,2011
H004MH197RUS,2,9900.0,Ford,Focus,1987
X015HY197RUS,2,24000.0,Toyota,Corolla,1999
T6419O50RUS,2,9000.0,Ford,Focus,1989
E822TH36RUS,2,12900.0,Ford,Focus,1990
8437XX154RUS,1,8594.5864661654,Ford,Focus,2002
E445TC197RUS,1,3400.0,Ford,Focus,2010
C515X938RUS,1,1900.0,Ford,Focus,2013
7172TT36RUS,2,5700.0,Ford,Focus,1993
8436XX154RUS,1,800.0,Ford,Focus,1999
E79988152RUS,1,500.0,Ford,Focus,2001
8180XX154RUS,1,2800.0,Ford,Focus,1996
84438C154RUS,2,3800.0,Ford,Focus,1993
T6309O50RUS,2,24000.0,Ford,Focus,1986
T6129O50RUS,2,6000.0,Ford,Focus,2013
K339T8197RUS,2,19200.0,Ford,Focus,2010
8685HE154RUS,1,2000.0,Ford,Focus,2006
X782CO96RUS,1,8594.5864661654,Ford,Focus,1991
E591HE77RUS,2,6000.0,Ford,Focus,2008
89587X197RUS,1,4400.0,Toyota,Camry,1994
9499KX178RUS,1,2300.0,Ford,Focus,2009
8818C877RUS,1,5000.0,Volkswagen,Passat,2000
Y357O8197RUS,1,2200.0,Ford,Focus,2005
Y652O8197RUS,1,5800.0,Volkswagen,Touareg,2002
X767HY197RUS,2,18000.0,Ford,Focus,2011
H220X836RUS,1,7000.0,Ford,Focus,1999
H218X836RUS,2,17500.0,Ford,Focus,1995
T913CT197RUS,1,7900.0,Toyota,Camry,1993
T6439O50RUS,2,16500.0,Ford,Focus,1987
7784KT197RUS,2,13200.0,Ford,Focus,2017
X286TC36RUS,2,8594.5864661654,Ford,Focus,1980
O752MX161RUS,1,1300.0,Ford,Focus,1998
Y7449Y50RUS,1,8000.0,Ford,Focus,1985
H115YO163RUS,2,1100.0,Ford,Focus,1995
8818C877RUS,2,10000.0,Volkswagen,Passat,2011
92828M178RUS,1,300.0,Ford,Focus,1985
Y650E8750RUS,1,500.0,Skoda,Octavia,1986
X767HY197RUS,2,36000.0,Ford,Focus,2010
9498KX178RUS,2,800.0,Ford,Focus,2006
83298C154RUS,1,100.0,Ford,Focus,2000
8321XX154RUS,1,100.0,Ford,Focus,1988
8316XX154RUS,1,2200.0,Ford,Focus,2019
T017OX197RUS,2,12700.0,Toyota,Corolla,1994
H977HY161RUS,1,8594.5864661654,Ford,Focus,1999
7788KT197RUS,2,8594.5864661654,Ford,Focus,1989
X522OM161RUS,1,1500.0,Ford,Focus,2015
O085E8197RUS,1,300.0,Volkswagen,Golf,2012
8166XX154RUS,1,600.0,Ford,Focus,2007
705387163RUS,2,700.0,Ford,Focus,1983
O017KO197RUS,1,800.0,Ford,Focus,1999
X4138H125RUS,1,300.0,Ford,Focus,2018
8441XX154RUS,1,500.0,Ford,Focus,2005
M0269X197RUS,2,8594.5864661654,Ford,Focus,1987
7781KT197RUS,1,1200.0,Ford,Focus,2009
T483CT96RUS,1,500.0,Ford,Focus,1989
T940CC96RUS,2,1500.0,Ford,Focus,1989
C58078163RUS,1,100.0,Ford,Focus,1981
O02397197RUS,1,4000.0,Volkswagen,Jetta,2005
T018OX197RUS,2,6800.0,Toyota,Corolla,2013
H963HY161RUS,1,1400.0,Ford,Focus,1980
8611T8154RUS,2,2000.0,Ford,Focus,1992
704787163RUS,2,2800.0,Ford,Focus,1995
E53488152RUS,2,3600.0,Ford,Focus,2007
Y7129Y50RUS,1,16000.0,Ford,Focus,1991
C313MM99RUS,1,7500.0,Toyota,Camry,2016
8611T8154RUS,1,1000.0,Ford,Focus,2016
X763HY197RUS,2,9500.0,Ford,Focus,1990
M386M9197RUS,2,5800.0,Volkswagen,Golf,2015
8605T8154RUS,1,1000.0,Ford,Focus,2011
O22297197RUS,1,8594.5864661654,Ford,Focus,1983
7147OE161RUS,1,500.0,Ford,Focus,2008
O134HE197RUS,2,7600.0,Ford,Focus,1992
7361C8197RUS,1,1600.0,Ford,Focus,1992
Y359EY197RUS,2,3000.0,Skoda,Octavia,2004
T6559O50RUS,1,4000.0,Ford,Focus,2010
E53277152RUS,1,500.0,Ford,Focus,1988
X015HY197RUS,1,8000.0,Toyota,Corolla,1982
9469EX178RUS,2,2100.0,Ford,Focus,2000
Y6839Y50RUS,2,3000.0,Ford,Focus,2013
H237YH197RUS,1,600.0,Ford,Focus,1994
T948OM96RUS,1,2000.0,Ford,Focus,2003
T395KX197RUS,2,15200.0,Ford,Focus,1996
M301CH161RUS,1,8000.0,Ford,Focus,2016
M581CH197RUS,1,100.0,Ford,Focus,1999
E79988152RUS,1,1500.0,Ford,Focus,2007
9496KX178RUS,1,500.0,Ford,Focus,2013
T6319O50RUS,2,8594.5864661654,Ford,Focus,1991
H305T8197RUS,1,28100.0,Ford,Focus,2017
8201XX154RUS,2,2600.0,Ford,Focus,2004
O64297197RUS,1,300.0,Ford,Focus,2018
9523M8178RUS,1,600.0,Skoda,Octavia,1990
Y273O8197RUS,2,52600.0,Ford,Focus,2008
T6229O50RUS,2,2500.0,Ford,Focus,2019
9943KK197RUS,2,19800.0,Ford,Focus,1995
X023HY197RUS,2,10200.0,Volvo,,1980
8226XX154RUS,2,1000.0,Ford,Focus,2003
Y038TO197RUS,1,7600.0,Toyota,Corolla,2015
M0289X197RUS,2,40600.0,Ford,Focus,1987
E811HE77RUS,2,7000.0,Ford,Focus,1992
X795O796RUS,1,2000.0,Ford,Focus,2016
O39997197RUS,1,9000.0,Ford,Focus,2007
97968K152RUS,2,500.0,Ford,Focus,1997
K339T8197RUS,2,8594.5864661654,Ford,Focus,2009
H219X836RUS,1,1600.0,Ford,Focus,2000
T6169O50RUS,1,500.0,Ford,Focus,2017
Y352O8197RUS,2,25900.0,Ford,Focus,2004
94178K154RUS,1,500.0,Ford,Focus,2002
7365C8197RUS,2,6900.0,Ford,Focus,1987
9467EX178RUS,2,3700.0,Ford,Focus,1999
O78097197RUS,2,1400.0,Ford,Focus,2012
X5707X161RUS,2,500.0,Volkswagen,Passat,1982
Y232E877RUS,2,5000.0,Ford,Focus,2007
Y388E877RUS,2,19000.0,Ford,Focus,1981
X255HE161RUS,1,400.0,Ford,Focus,2002
E552MO152RUS,1,8594.5864661654,Ford,Focus,1998
97998K152RUS,2,6300.0,Ford,Focus,1987
Y963O8197RUS,2,21600.0,Ford,Focus,1988
Y778EE197RUS,2,168000.0,Volkswagen,Golf,2017
T654HT96RUS,2,2000.0,Toyota,Corolla,2018
T477KX197RUS,2,94000.0,Ford,Focus,2013
T2639T116RUS,1,3000.0,Ford,Focus,1987
O49797197RUS,2,5300.0,Ford,Focus,1994
O83597197RUS,2,8000.0,Ford,Focus,1993
H387TM197RUS,2,3200.0,Volkswagen,Passat,1980
O68897197RUS,1,8200.0,Ford,Focus,1993
72457Y96RUS,1,900.0,Ford,Focus,2019
7064C8197RUS,1,12800.0,Volkswagen,Passat,1989
E948C8152RUS,2,6000.0,Ford,Focus,1996
C514X938RUS,2,8594.5864661654,Ford,Focus,1993
C589EY154RUS,1,4500.0,Ford,Focus,2001
K899T8197RUS,2,15400.0,Ford,Focus,2015
T6418M116RUS,2,24600.0,Ford,Focus,2010
8607XX154RUS,2,2400.0,Skoda,Octavia,1991
92778M178RUS,2,3000.0,Ford,Focus,1997
T288CT96RUS,1,4500.0,Ford,Focus,1980
9886HX152RUS,2,2900.0,Ford,Focus,2014
C583EY154RUS,1,1000.0,Ford,Focus,2009
7788KT197RUS,1,20000.0,Ford,Focus,1986
T016OX197RUS,2,9600.0,Toyota,Corolla,2002
T6419O50RUS,2,27000.0,Ford,Focus,1993
C592EY154RUS,1,1000.0,Ford,Focus,1980
T6459O50RUS,1,2000.0,Ford,Focus,1980
Y356O8197RUS,2,8594.5864661654,Ford,Focus,1994
X759HY197RUS,2,12500.0,Ford,Focus,2017
705787163RUS,1,100.0,Ford,Focus,2018
Y973O8197RUS,1,69600.0,Ford,Focus,2002
92898M178RUS,1,1600.0,Ford,Focus,1987
9671EC178RUS,1,600.0,Ford,Focus,1989
M302CH161RUS,1,500.0,Ford,Focus,2011
X023HY197RUS,2,6800.0,Volvo,,1984
M578CH197RUS,2,9000.0,Ford,Focus,2014
O77997197RUS,2,5600.0,Ford,Focus,2010
7368C8197RUS,2,8800.0,Ford,Focus,2006
9683EC178RUS,2,6500.0,Ford,Focus,1998
Y207O8161RUS,1,500.0,Ford,Focus,2009
96659X178RUS,1,2700.0,Ford,Focus,1990
T912CT197RUS,2,19800.0,Toyota,Camry,2000
7183TT36RUS,2,16200.0,Ford,Focus,1999
89557X197RUS,2,22400.0,Toyota,Camry,1995
E773EH197RUS,2,8594.5864661654,Ford,Focus,1981
Y359O8197RUS,1,2000.0,Ford,Focus,2013
K2817K154RUS,1,4500.0,Ford,Focus,2003
X758HY197RUS,2,145200.0,Ford,Focus,1994
Y964O8197RUS,1,1000.0,Ford,Focus,1992
H967HY161RUS,2,4500.0,Ford,Focus,1998
E394MO152RUS,2,10500.0,Ford,Focus,2001
O50699163RUS,1,1100.0,Ford,Focus,2014
9463EX178RUS,1,1400.0,Ford,Focus,1994
E53677152RUS,2,5500.0,Ford,Focus,2017
K338T8197RUS,2,17400.0,Ford,Focus,2016
Y4298M777RUS,2,2000.0,Skoda,Octavia,1982
Y687HM197RUS,1,8594.5864661654,BMW,,1992
8311XX154RUS,2,4300.0,Ford,Focus,2019
98037H178RUS,2,2500.0,Ford,Focus,2011
7828C8197RUS,2,6700.0,Ford,Focus,2008
H980HY161RUS,2,1800.0,Ford,Focus,1995
H906YK197RUS,1,12000.0,Ford,Focus,1982
7199MT197RUS,1,9300.0,Volkswagen,Golf,2013
X908XC197RUS,2,46000.0,Volkswagen,Jetta,2004
T171CC96RUS,2,2000.0,Ford,Focus,2014
X4108H125RUS,2,1300.0,Ford,Focus,1994
Y966O8197RUS,2,10400.0,Ford,Focus,2008
K2797K154RUS,2,2400.0,Ford,Focus,2014
7089H8163RUS,2,4400.0,Toyota,Corolla,1984
9883HX152RUS,1,500.0,Ford,Focus,2014
7841C8197RUS,1,12000.0,Ford,Focus,2005
9940KK197RUS,1,8594.5864661654,Ford,Focus,1985
H224X836RUS,2,7000.0,Ford,Focus,1993
H971HY161RUS,2,7400.0,Ford,Focus,1998
M0269X197RUS,2,20600.0,Ford,Focus,2010
E316EH197RUS,1,1300.0,Volkswagen,Touareg,1995
X257HE161RUS,1,5000.0,Ford,Focus,2005
H844YH197RUS,2,3000.0,Ford,Focus,1999
9523M8178RUS,2,300.0,Skoda,Octavia,1993
E33477152RUS,1,500.0,Ford,Focus,1988
Y156E877RUS,2,7500.0,Ford,Focus,1993
E396MO152RUS,2,3000.0,Ford,Focus,1987
E0697X152RUS,2,8594.5864661654,Skoda,Octavia,2018
Y969O8197RUS,1,15600.0,Ford,Focus,1997
9028CO161RUS,1,1500.0,Ford,Focus,2002
7840C8197RUS,2,3500.0,Ford,Focus,1990
T6249O50RUS,2,8500.0,Ford,Focus,1982
E53677152RUS,2,11000.0,Ford,Focus,1985
E42377152RUS,2,3000.0,Ford,Focus,1985
9941KK197RUS,1,800.0,Ford,Focus,1983
E28877161RUS,1,500.0,Ford,Focus,1988
M0299X197RUS,2,19200.0,Ford,Focus,1996
M372CH197RUS,1,21600.0,Ford,Focus,1981
K040CC197RUS,2,3600.0,Ford,Focus,1983
E41577152RUS,2,3000.0,Ford,Focus,2004
9763HY161RUS,1,900.0,Ford,Focus,1984
T535ET96RUS,2,3000.0,Ford,Focus,1982
92918M178RUS,2,7600.0,Ford,Focus,1991
Y655E8750RUS,1,2600.0,Skoda,Octavia,1999
K2797K154RUS,1,8594.5864661654,Ford,Focus,2018
K559KC161RUS,1,200.0,Ford,Focus,1991
7369C8197RUS,2,10100.0,Ford,Focus,2017
8321XX154RUS,1,200.0,Ford,Focus,2002
O134HE197RUS,2,11400.0,Ford,Focus,2015
H961HY161RUS,2,2500.0,Ford,Focus,2018
M2169X197RUS,2,3100.0,Ford,Focus,2015
707987163RUS,1,1100.0,Ford,Focus,2011
8234XX154RUS,1,1300.0,Ford,Focus,1990
X759HY197RUS,1,37500.0,Ford,Focus,2017
O83697197RUS,2,6100.0,Ford,Focus,2001
92918M178RUS,1,1900.0,Ford,Focus,2008
92928M178RUS,1,1200.0,Ford,Focus,2013
E52677152RUS,2,2500.0,Ford,Focus,1994
8451M7154RUS,1,500.0,Ford,Focus,1997
9589EY178RUS,1,8594.5864661654,Ford,Focus,2012
H907YK197RUS,2,7100.0,Ford,Focus,1981
O39897197RUS,2,3800.0,Ford,Focus,1992
M3879X197RUS,2,6300.0,Volkswagen,Touareg,2007
C299K9154RUS,1,500.0,Ford,Focus,2005
M0299X197RUS,1,9600.0,Ford,Focus,1997
8437XX154RUS,2,800.0,Ford,Focus,1985
9468EX178RUS,1,4000.0,Ford,Focus,1998
M375CH197RUS,2,18100.0,Ford,Focus,1987
H982HY161RUS,1,300.0,Ford,Focus,1996
8201XX154RUS,1,7800.0,Ford,Focus,2013
8224XX154RUS,1,2500.0,Ford,Focus,1994
O22397197RUS,1,18500.0,Ford,Focus,1981
Y653E8750RUS,1,500.0,Skoda,Octavia,1984
K558KC161RUS,1,500.0,Ford,Focus,1992
O058M7161RUS,1,1900.0,Ford,Focus,1982
M256OH161RUS,2,1600.0,Ford,Focus,2013
7183TT36RUS,2,5400.0,Ford,Focus,2001
T242H8197RUS,2,8594.5864661654,Skoda,Octavia,1981
K27188138RUS,1,2000.0,Ford,Focus,1987
X782CO96RUS,1,1000.0,Ford,Focus,2011
Y7659C197RUS,1,1500.0,Ford,Focus,1984
X523OM161RUS,1,400.0,Ford,Focus,2000
96629X178RUS,1,7000.0,Ford,Focus,1996
9881HX152RUS,2,10300.0,Ford,Focus,2002
9020YC197RUS,2,72500.0,Skoda,Octavia,1996
T479KX197RUS,2,12000.0,Ford,Focus,2012
M680T9152RUS,2,9000.0,Volkswagen,Jetta,1984
7831C8197RUS,2,6800.0,Ford,Focus,2006
7844C8197RUS,2,17000.0,Ford,Focus,2011
T011MY163RUS,2,4000.0,Ford,Focus,1987
C410X938RUS,1,1100.0,Ford,Focus,1997
X762HY197RUS,1,500.0,Ford,Focus,2002
9470EX178RUS,1,500.0,Ford,Focus,1994
X4128H125RUS,2,8594.5864661654,Ford,Focus,1990
9762HY161RUS,2,2600.0,Ford,Focus,2005
H419XE197RUS,2,6900.0,Toyota,Corolla,2005
98017H178RUS,1,1500.0,Ford,Focus,1997
Y780EE197RUS,2,4600.0,Volkswagen,Golf,2019
M580CH197RUS,2,9500.0,Ford,Focus,2000
